feature_id,bedrooms,squareFootage,features,bathrooms,lotSize
78,3,2002.0,"{'architectureType': 'Single Story', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Tile', 'roomCount': 6, 'unitCount': 1}",2,7405.0
79,3,1068.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'roomCount': 5}",1,6900.0
80,4,2983.0,nan,3,14375.0
81,4,,nan,2,
82,0,840.0,"{'architectureType': 'European', 'floorCount': 1}",0,
83,3,1105.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'fireplace': True, 'fireplaceType': 'Single', 'floorCount': 2, 'heating': True, 'heatingType': 'Central', 'roomCount': 6, 'unitCount': 1}",1,6000.0
84,2,1120.0,"{'architectureType': 'Townhouse', 'cooling': True, 'coolingType': 'Package', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}",2,523.0
85,3,2573.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True}",2,5489.0
86,0,768.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'floorCount': 1, 'garage': True, 'garageType': 'Carport', 'unitCount': 1}",0,10890.0
87,3,2020.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'fireplaceType': 'Prefab', 'floorCount': 2, 'foundationType': 'Other', 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Asphalt', 'unitCount': 1}",2,5227.0
88,1,795.0,{'architectureType': 'Condo / Apartment'},1,
89,4,3180.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 2, 'garage': True, 'garageSpaces': 3, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central'}",3,31124.0
90,0,,{},0,479160.0
91,0,2861.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 3, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle'}",0,46827.0
92,3,2431.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'OTHER', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'pool': True, 'roofType': 'Composition Shingle', 'unitCount': 1, 'viewType': 'Water'}",2,13695.0
93,3,,nan,1,
94,4,2378.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 7, 'unitCount': 1}",2,5519.0
95,0,4677.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Stucco', 'floorCount': 2, 'garage': True, 'garageSpaces': 6, 'garageType': 'Garage', 'heating': True, 'pool': True, 'roofType': 'Concrete Tile'}",6,12601.0
96,2,1004.0,"{'architectureType': 'Townhouse', 'exteriorType': 'Brick', 'unitCount': 1}",1,1307.0
97,1,863.0,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick / Stone', 'floorCount': 1, 'heating': True, 'unitCount': 1, 'viewType': 'Average'}",1,
98,0,,"{'architectureType': 'Condo / Apartment', 'floorCount': 26, 'unitCount': 1}",0,42875.0
99,0,1986.0,{},0,7579.0
100,5,1900.0,nan,4,6000.0
101,4,2551.0,"{'architectureType': 'Split Level', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 8, 'unitCount': 1}",2,16600.0
102,0,,nan,0,94869.0
103,2,728.0,"{'garage': True, 'garageSpaces': 1, 'garageType': 'Detached Garage', 'heating': True, 'heatingType': 'Floor / Wall', 'unitCount': 1}",1,5369.0
